date,ticker,momentum,volatility,liquidity,size_proxy,value_composite,quality_composite
2019-09-12 00:00:00+05:30,3MINDIA_DAILY,-0.1456088137090532,-0.131403524254238,-0.3067953587581133,0.7782306517901518,-0.4740885575131113,0.1163762920905355
2019-09-16 00:00:00+05:30,3MINDIA_DAILY,-0.2008077251723771,-0.1159144761040085,-0.3062843430424171,1.7683156728388243,-0.487610940269179,1.3850810600669796
2019-09-17 00:00:00+05:30,3MINDIA_DAILY,-0.2003405825630792,-0.1156600873958997,-0.3059944179239671,0.6513778400597914,-0.365755425946634,-1.5702211866075824
2019-09-18 00:00:00+05:30,3MINDIA_DAILY,-0.2517933652162714,-0.1149796181532114,-0.3046009496880985,0.0298810738386016,-0.0050145025302444,-1.3155721214501663
2019-09-12 00:00:00+05:30,AARTIIND_DAILY,0.1405531501571263,-0.0867163423777722,-0.2968026415297986,-0.6438925299718998,2.296289865690944,-1.867367877266746
2019-09-16 00:00:00+05:30,AARTIIND_DAILY,0.0950521892837046,-0.0898277484101528,-0.2964825324490619,-0.1510759557703427,-0.4649224881925412,1.5137156576733073
2019-09-17 00:00:00+05:30,AARTIIND_DAILY,0.1514526911371179,-0.0920660961539917,-0.2966632239995778,-0.7179443195396464,-0.6079574137821556,-1.9104571199223532
2019-09-18 00:00:00+05:30,AARTIIND_DAILY,0.1430620213548595,-0.0913166350922377,-0.2953940306777194,-0.439863849168925,1.4043942555406446,-0.2566191944783472
2019-09-12 00:00:00+05:30,AAVAS_DAILY,0.5086491657077782,-0.0760012796629721,-0.3025109404278072,-0.5632342967450895,0.1176522873159037,0.1184253250079719
2019-09-16 00:00:00+05:30,AAVAS_DAILY,0.5210088077673573,-0.0777730551778578,-0.3023996577478321,-0.6708223004209117,-0.4239896498977498,-0.0149041788686389
2019-09-17 00:00:00+05:30,AAVAS_DAILY,0.4031711782843435,-0.0788738319598013,-0.3023782327895928,-0.1037847920629769,1.8058738699049208,1.3625426396196347
2019-09-18 00:00:00+05:30,AAVAS_DAILY,0.3143508281033562,-0.081017979914089,-0.3009959612008374,-0.5637529309138558,-0.2996098597317304,-1.6127226392381122
2019-09-12 00:00:00+05:30,ABBOTINDIA_DAILY,0.4555294735685176,-0.1221921157469704,-0.3062719233479478,-0.1431083274736132,-0.4732970206769288,-1.604740182768874
2019-09-16 00:00:00+05:30,ABBOTINDIA_DAILY,0.5380608266309445,-0.1247011256552352,-0.3061041483286318,0.1310323810452618,-0.2280151098656329,-1.386023519122622
2019-09-17 00:00:00+05:30,ABBOTINDIA_DAILY,0.5967372769541937,-0.1258828024077202,-0.3058443189454801,-0.5367828708141464,-0.5406960599225692,0.3475987901786748
2019-09-18 00:00:00+05:30,ABBOTINDIA_DAILY,0.5432577416333575,-0.124333388748017,-0.3044437829171527,0.1951355999093727,4.28392728279464,-0.4857340624831893
2019-09-12 00:00:00+05:30,ABB_DAILY,0.1483563281089554,-0.1032173400951497,-0.2984343810769382,-0.500675907052588,-0.6071729967064049,0.460659843523558
2019-09-16 00:00:00+05:30,ABB_DAILY,0.1617296110273275,-0.1068481913759328,-0.2982667965180058,0.1757215834558044,-0.3185345190323457,0.0824746018581926
2019-09-17 00:00:00+05:30,ABB_DAILY,0.1595688711175002,-0.1085205487968975,-0.2980914467345983,-0.447973669619708,5.707215425141474,-1.1009396794693604
2019-09-18 00:00:00+05:30,ABB_DAILY,0.1300946560895944,-0.1086947474833149,-0.2967759532642905,-0.4149110585501372,-0.7111827824382259,-1.5791580985412736
2019-09-12 00:00:00+05:30,ABCAPITAL_DAILY,0.0018682059474222,-0.0890134884727522,-0.2139755653496469,0.0937710643267797,0.9258778518754652,-0.978904810898562
2019-09-16 00:00:00+05:30,ABCAPITAL_DAILY,-0.0299628684439428,-0.0894005867716224,-0.2140905857978775,-0.2608892485106967,-0.2442552659403015,-0.2894538560023674
2019-09-17 00:00:00+05:30,ABCAPITAL_DAILY,-0.0167553955028912,-0.0900647386410525,-0.2145101448340948,-0.2327145667429034,0.7261451619249488,-0.7612773198939198
2019-09-18 00:00:00+05:30,ABCAPITAL_DAILY,-0.0579917555474623,-0.089804491368461,-0.2147126953718536,-0.1337539615697814,-0.6705588054666258,-0.2398499229468921
2019-09-12 00:00:00+05:30,ABFRL_DAILY,-0.1606852498879158,-0.0713861676734997,-0.2542052811900078,-0.042147717619155,-0.5093261306457029,0.6063641467941139
2019-09-16 00:00:00+05:30,ABFRL_DAILY,-0.1364667886711814,-0.0738981379886806,-0.2543541531981636,-0.592391382165353,0.1022152596991854,-0.6466032969489832
2019-09-17 00:00:00+05:30,ABFRL_DAILY,-0.1808170976479136,-0.0727938778536631,-0.2552485178524971,-0.4645679167437205,-0.2547383913849029,1.0267445531116757
2019-09-18 00:00:00+05:30,ABFRL_DAILY,-0.1390180342219505,-0.0724672283802333,-0.2545546703344571,-0.0462042254659615,-0.514651713255838,-0.3131010484059515
2019-09-12 00:00:00+05:30,ABREL_DAILY,0.1105073890073602,-0.0837886716382611,-0.2635673944016585,0.7813256186520185,-0.5439791759995952,0.8032123561248556
2019-09-16 00:00:00+05:30,ABREL_DAILY,0.1881675779840471,-0.0850894203010506,-0.2635509672201162,0.7209380053166393,-0.4023700478562344,0.4704603445894253
2019-09-17 00:00:00+05:30,ABREL_DAILY,0.1757586483990693,-0.0854670652500046,-0.2636857345345002,0.5770371576822872,-0.4918927113205542,-0.5029316683529665
2019-09-18 00:00:00+05:30,ABREL_DAILY,0.1501151650361251,-0.0854898679581689,-0.262862841299336,0.5778961425268548,0.2983428089262183,1.2435122727274464
