Symbol,Raw Rows,Processed Rows,Reduction (%),Raw Start,Raw End,Proc Start,Proc End,Raw Missing,Proc Missing,Volume OK
PREMIERENE,18083,242,98.66,2024-09-03,2025-08-26,2024-09-03,2025-08-26,0,0,✅
PRESTIGE,193558,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
PTCIL,80259,1078,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
PVRINOX,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
RADICO,193559,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
RAILTEL,82358,1103,98.66,2021-02-26,2025-08-26,2021-02-26,2025-08-26,0,0,✅
RAINBOW,61207,850,98.61,2019-04-01,2025-08-26,2019-04-01,2025-08-26,0,0,✅
RAMCOCEM,193546,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
RAYMOND,193548,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
RAYMONDLSL,18008,241,98.66,2024-09-05,2025-08-26,2024-09-05,2025-08-26,0,0,✅
RBLBANK,164677,2206,98.66,2016-08-31,2025-08-26,2016-08-31,2025-08-26,0,0,✅
RCF,193560,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
RECLTD,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
REDINGTON,193539,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
RELIANCE,193554,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
RENUKA,193559,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
RHIM,191795,2592,98.65,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
RITES,131089,1756,98.66,2018-07-02,2025-08-26,2018-07-02,2025-08-26,0,0,✅
RKFORGE,191875,2592,98.65,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ROUTE,138585,2116,98.47,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
RRKABEL,35462,476,98.66,2023-09-20,2025-08-26,2023-09-20,2025-08-26,0,0,✅
RTNINDIA,186352,2567,98.62,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
RVNL,116866,1566,98.66,2015-08-12,2025-08-26,2015-08-12,2025-08-26,0,0,✅
SAGILITY,14546,194,98.67,2024-11-12,2025-08-26,2024-11-12,2025-08-26,0,0,✅
SAIL,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SAILIFE,12747,170,98.67,2024-12-18,2025-08-26,2024-12-18,2025-08-26,0,0,✅
SAMMAANCAP,193564,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SAPPHIRE,69220,927,98.66,2021-11-18,2025-08-26,2021-11-18,2025-08-26,0,0,✅
SARDAEN,193021,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SAREGAMA,192117,2592,98.65,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SBFC,37262,500,98.66,2023-08-16,2025-08-26,2023-08-16,2025-08-26,0,0,✅
SBICARD,100107,1341,98.66,2020-03-16,2025-08-26,2020-03-16,2025-08-26,0,0,✅
SBILIFE,146154,1958,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SBIN,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SCHAEFFLER,192481,2592,98.65,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SCI,193554,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SHREECEM,193559,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SHRIRAMFIN,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SHYAMMETL,76583,1026,98.66,2021-06-24,2025-08-26,2021-06-24,2025-08-26,0,0,✅
SIEMENS,193559,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SIGNATURE,35087,471,98.66,2023-09-27,2025-08-26,2023-09-27,2025-08-26,0,0,✅
SJVN,193556,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SKFINDIA,192797,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SOBHA,193559,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SOLARINDS,192549,2592,98.65,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SONACOMS,76808,1029,98.66,2015-05-11,2025-08-26,2015-05-11,2025-08-26,0,0,✅
SONATSOFTW,193559,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SRF,193561,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
STARHEALTH,82213,1207,98.53,2015-03-13,2025-08-26,2015-03-13,2025-08-26,0,0,✅
SUMICHEM,102643,1375,98.66,2020-01-27,2025-08-26,2020-01-27,2025-08-26,0,0,✅
SUNDARMFIN,193224,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SUNDRMFAST,193538,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SUNPHARMA,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SUNTV,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SUPREMEIND,193533,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SUZLON,193561,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SWANENERGY,191603,2592,98.65,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
SWIGGY,14472,193,98.67,2024-11-13,2025-08-26,2024-11-13,2025-08-26,0,0,✅
SWSOLAR,110449,1480,98.66,2019-08-20,2025-08-26,2019-08-20,2025-08-26,0,0,✅
SYNGENE,183802,2462,98.66,2015-08-11,2025-08-26,2015-08-11,2025-08-26,0,0,✅
SYRMA,54974,737,98.66,2022-08-26,2025-08-26,2022-08-26,2025-08-26,0,0,✅
TANLA,193165,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TARIL,190753,2592,98.64,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TATACHEM,193558,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TATACOMM,193541,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TATACONSUM,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TATAELXSI,193561,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TATAINVEST,193318,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TATAMOTORS,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TATAPOWER,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TATASTEEL,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TATATECH,31995,429,98.66,2023-11-30,2025-08-26,2023-11-30,2025-08-26,0,0,✅
TBOTEK,23729,318,98.66,2024-05-15,2025-08-26,2024-05-15,2025-08-26,0,0,✅
TCS,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TECHM,193561,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TECHNOE,121156,1654,98.63,2018-12-04,2025-08-26,2018-12-04,2025-08-26,0,0,✅
TEJASNET,149601,2005,98.66,2017-06-28,2025-08-26,2017-06-28,2025-08-26,0,0,✅
THERMAX,193526,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TIINDIA,143200,1919,98.66,2017-11-02,2025-08-26,2017-11-02,2025-08-26,0,0,✅
TIMKEN,193318,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TITAGARH,193552,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TITAN,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TORNTPHARM,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TORNTPOWER,193561,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TRENT,193480,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TRIDENT,193558,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TRITURBINE,192774,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TRIVENI,193533,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
TVSMOTOR,193561,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
UBL,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
UCOBANK,193560,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ULTRACEMCO,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
UNIONBANK,193560,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
UNITDSPR,193561,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
UNOMINDA,193482,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
UPL,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
USHAMART,193365,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
UTIAMC,89390,1198,98.66,2020-10-12,2025-08-26,2020-10-12,2025-08-26,0,0,✅
VBL,161341,2161,98.66,2016-11-08,2025-08-26,2016-11-08,2025-08-26,0,0,✅
VEDL,193561,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
VGUARD,193513,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
VIJAYA,72532,972,98.66,2021-09-14,2025-08-26,2021-09-14,2025-08-26,0,0,✅
VMM,12747,170,98.67,2024-12-18,2025-08-26,2024-12-18,2025-08-26,0,0,✅
VOLTAS,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
VTL,193120,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
WAAREEENER,15309,205,98.66,2024-10-28,2025-08-26,2024-10-28,2025-08-26,0,0,✅
WELCORP,193560,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
WELSPUNLIV,193560,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
WESTLIFE,110350,1481,98.66,2019-08-19,2025-08-26,2019-08-19,2025-08-26,0,0,✅
WHIRLPOOL,193547,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
WIPRO,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
WOCKPHARMA,193561,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
YESBANK,193559,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ZEEL,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ZENSARTECH,193488,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ZENTEC,189406,2553,98.65,2015-03-30,2025-08-26,2015-03-30,2025-08-26,0,0,✅
ZFCVINDIA,192913,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ZYDUSLIFE,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
